Q106605756	Öjendorfer Damm
Q76309197	Hasenweg (Hamburg)
Q106605360	Hasloher Kehre
Q105242955	Hasselbrookstraße
Q114808886	Hasselmannstraße (Hamburg)
Q106605361	Hastedtstraße (Hamburg)
Q106605362	Haubachstraße (Hamburg)
Q106605363	Hauersweg
Q11911943	Hauptentwässerungsgraben Allermöhe
Q11911942	Hauptentwässerungsgraben Moorfleet
Q23786394	Haus der Seefahrt (Hamburg)
Q90536188	Haus Glass
Q22320757	Haus Goldener Schwan (Hamburg)
Q1590249	Haus K. in O.
Q18287379	Haus Kornweg 17E
Q110934605	Haus Neuerburg (Wandsbek)
Q25089216	Haus Rademacher
Q18287382	Haus Stübekamp 75
Q106605364	Hausbrucher Bahnhofstraße
Q114808887	Hausbrucher Moor
Q114808888	Hausbrucher Straße
Q113151828	Hauszeichen (S. u. H., Hamburg Walddörferstr)
Q106605365	Haynstraße (Hamburg)
Q106605366	Hebebrandstraße
Q106605367	Heckenrosenweg
Q106605368	Heckkatenweg
Q114808890	Heckscherstraße Hamburg-Hoheluft-West
Q79364470	Heegbarg
Q114808891	Hegestraße (Hamburg)
Q106605369	Hegholt
Q106489986	Heidbarghof
Q106605370	Heidenkampsweg
Q114808893	Heider Straße (Hamburg)
Q106605371	Heidhörn
Q106605372	Heidi-Kabel-Platz
Q106605373	Heidrand (Hamburg)
Q66385182	Heilandskirche (Hamburg-Uhlenhorst)
Q108566783	Heilige-Familie-Kirche (Hamburg-Langenhorn)
Q19963924	Heiligengeistbrücke
Q108566784	Heiliggeistkirche (Hamburg-Altona)
Q95562568	Heilig-Geist-Kirche (Hamburg-Farmsen)
Q1594894	Heilig-Geist-Kirchhof Altona
Q1594955	Heilig-Kreuz-Kirche (Hamburg-Volksdorf)
Q1595481	Heilwig-Gymnasium
Q106605374	Heilwigstraße (Hamburg)
Q14906798	Heimatmuseum Wandsbek
Q111797403	Heimfelder Holz
Q106605375	Heimfelder Straße
Q106605376	Heimhuder Straße
Q106605377	Heimweg (Hamburg)
Q110947678	Heine-Haus, Jungfernstieg (Hamburg)
Q1414278	Heine-Haus (Elbchaussee)
Q1595968	Heine-Park (Hamburg)
Q106605379	Hein-Hoyer-Straße
Q114808894	Heinickestraße (Hamburg)
Q27979158	Hein-Köllisch-Platz (Hamburg)
Q109836106	Heinrich-Barth-Straße
Q1596378	Heinrich-Groß-Hof
Q96375132	Heinrich-Heine-Denkmal, Rathausmarkt (Hamburg)
Q1596400	Heinrich-Heine-Gymnasium (Hamburg)
Q106605380	Heinrich-Heine-Weg (Hamburg)
Q114808896	Heinrich-Helbing-Straße
Q18625342	Heinrich-Hertz-Schule (Hamburg)
Q106605382	Heinrich-Hertz-Straße (Hamburg)
Q648375	Heinrich-Hertz-Turm
Q106605383	Heinrich-Osterath-Straße
Q109673231	Heinrich-Osterath-Straße 45
Q106605385	Heinrichstraße (Hamburg)
Q106605384	Heinrich-Traun-Platz Hamburg-Fuhlsbüttel
Q114808897	Heinrich-Traun-Straße
Q114808898	Heinrich-von-Ohlendorff-Straße
Q66686355	Heinrich-Wolgast-Schule
Q106605386	Heinskamp
Q107407447	Heinz-Erhardt-Park
Q69683972	Heisenberg-Gymnasium Hamburg
Q106605387	Heitmannstraße (Hamburg)
Q19392478	Heizkraftwerk Tiefstack
Q54418279	Heizwerk Barmbek
Q53665728	Heizwerk HafenCity
Q1601926	Helene-Lange-Gymnasium (Hamburg)
Q1602061	Helenenstift (Hamburg)
Q106605388	Helgoländer Allee (Hamburg)
Q38643723	Helios Klinikum Mariahilf Hamburg
Q106605389	Hellbrookstraße
Q83493965	Hellbrookstraßenbrücke
Q114808900	Hellgrundweg
Q111550318	Hellgrundweg 45
Q110998226	Helmuth-Schack-See
Q65056978	Helmut-Schmidt-Gymnasium (Hamburg)
Q106605390	Helmut-Steidl-Platz
Q106605391	Hemmingstedter Weg (Hamburg)
Q106605392	Henny-Schütz-Allee
Q315857	Herbertstraße (Hamburg)
Q106605393	Herbert-Wehner-Platz (Hamburg)
Q106605394	Herbert-Weichmann-Strasse (Hamburg)
Q96146856	Herderstraße (Hamburg)
Q1610484	Hermann (ship, 1905)
Q114808901	Hermann-Blohm-Straße
Q114808903	Hermann-Distel-Straße
Q114808905	Hermann-Ruge-Weg
Q106605395	Hermannstal (Hamburg)
Q106605396	Hermannstraße (Hamburg)
Q106605397	Hermelinweg (Hamburg)
Q106605398	Herrengraben (Hamburg)
Q113642	Herrengrabenfleet
Q21035551	Herrenhaus Höltigbaum
Q106605399	Herrenweide (Hamburg)
Q106605400	Herthastraße (Hamburg)
Q108566785	Herz-Jesu-Kirche (Hamburg-Hamm)
Q99541129	Herzmoorgraben
Q1615840	Hessepark (Hamburg)
Q106605402	Heußweg (Hamburg)
Q106605401	Heuberg (Hamburg)
Q1971032	Heuckenlock
Q106605403	Heymannstraße (Hamburg)
Q106605404	Heynemannstraße (Hamburg)
Q106678317	Heysestraße (Hamburg)
Q25089273	Hindenburgbrücke (Hamburg)
Q15114849	Hindenburgstraße (Hamburg)
Q106605406	Hinrichsenstraße (Hamburg)
Q106605408	Hinsbleek
Q106605409	Hinschenfelder Straße
Q106605410	Hinter den Boden
Q28498634	Hiobs-Hospital (Hamburg)
Q100441208	Hirschfeldstraße (Hamburg)
Q65238155	Hirschgraben (Hamburg)
Q1620492	Hirschpark (Hamburg)
Q106605411	Hirtenstraße (Hamburg)
Q54944058	Historischer Friedhof Wandsbek
Q106605412	Hochallee (Hamburg)
Q113432333	Hochbahnbrücke Helgoländer Allee
Q100803977	Hochbunker Allende-Platz
Q105221992	Hochbunker August-Lütgens-Park
Q105641638	Hochbunker Barmbeker Straße
Q110928593	Hochbunker Behringstraße
Q111215933	Hochbunker Binderstraße
Q110923952	Hochbunker Heußweg 114
Q105640713	Hochbunker Humboldtstraße (Hamburg)
Q108528345	Hochbunker Rethedamm
Q100525373	Hochbunker Von-Hein-Straße
Q1464829	Hochkamp
Q106605413	Hochrad (Hamburg)
Q1622099	Hochschule Fresenius
Q873570	Hochstraße Elbmarsch
Q11925989	Hochwasserbassin
Q106488984	Hof Behrmann
Q106605414	Hoffmeyerstraße (Hamburg)
Q107387349	Hofschläger Weg
Q106634557	Hofschläger Weg 1
Q106605415	Hofweg (Hamburg)
Q30129726	Hofwegbrücke
Q11925994	Hofwegkanal
Q106605416	Hogenlitgrund
Q114808906	Hohe Bleichen (Hamburg)
Q19285654	Hohe Brücke (Hamburg)
Q106605418	Hohe Landwehr
Q106605419	Hohe Liedt
Q21000810	Hohe Schaar
Q106605420	Hohe Straße (Hamburg)
Q106605422	Hohe Weide (Hamburg)
Q106605423	Hoheluftchaussee
Q1543317	Hohendeicher See
Q114808908	Hohenfelder Allee
Q106605424	Hohenfelder Terrasse
Q112208581	Hohenhorst (Hamburg)
Q106605425	Hohensteiner Straße (Hamburg)
Q114808910	Hohenwischer Straße
Q111204014	Hohenwischer Straße 209
Q106605426	Hohenzollernring (Hamburg)
Q114808912	Hoherade
Q106605427	Hohler Weg (Hamburg)
Q106605428	Hohnerkamp (Hamburg)
Q1624677	Holiday Inn Hamburg-Rothenburgsort
Q106605431	Holitzberg
Q100724886	Holländischbrookfleetbrücke
Q106605432	Holländische Reihe
Q106605433	Holländischer Brook
Q106605434	Holmbrook (Hamburg)
Q114808914	Holsteiner Chaussee
Q106605435	Holsteinischer Kamp
Q106605437	Holstenglacis
Q106605438	Holstenhofweg
Q106605439	Holstenkamp
Q106605440	Holstenplatz (Hamburg)
Q1625144	Holstenstraße (Hamburg)
Q106605442	Holstentwiete (Hamburg)
Q106605443	Holstenwall
Q106605444	Holtkoppel
Q99193081	Holtkoppelgraben
Q106605446	Holzdamm (Hamburg)
Q61019802	Holzhafen (Hamburg)
Q11926029	Honigfabrik
Q103488196	Hopfengraben (Osterbek)
Q18625733	Hopfenmarkt (Hamburg)
Q106605448	Hopfensack (Hamburg)
Q106605449	Hopfenstraße (Hamburg)
Q114808915	Hoppenstedtstraße (Hamburg)
Q106605450	Horner Landstraße
Q822397	Horner Rennbahn
Q105797772	Horner Warteschule
Q106605451	Horner Weg (Hamburg)
Q114808917	Hornkamp (Hamburg)
Q11926062	Horstbek
Q114808919	Horster Damm (Hamburg)
Q109730513	Horster Damm 170
Q106605452	Hospitalstraße (Hamburg)
Q106832812	Hospitalstraße 107 (Hamburg)
Q106832769	Hospitalstraße 109 (Hamburg)
Q873918	Hotel Atlantic
Q19285786	Hotel Hafen Hamburg
Q1630936	Hotel Kaiserhof (Hamburg)
Q15816032	Hotel Reichshof (Hamburg)
Q1630947	Hotelrestaurant Louis C. Jacob
Q11926137	Hovekanal
Q114808920	Hovestraße (Hamburg)
Q113190319	Howaldtbrücke
Q566169	HSV Barmbek-Uhlenhorst
Q106605454	Hudtwalckerstraße (Hamburg)
Q106605456	Hufnerstraße
Q106605457	Hufnertwiete
Q114808924	Hugh-Greene-Weg
Q1586687	Hulbehaus
Q18625813	Humboldtstraße (Hamburg)
Q76307650	Hummelbrunnen
Q106605461	Hummelsbütteler Kirchenweg
Q114808926	Hummelsbütteler Landstraße
Q1971048	Hummelsbütteler Moore
Q99529442	Hummelsbütteler Moorgraben
Q106605462	Hummelsbüttler Hauptstraße
Q27883350	Hummelsee Hamburg-Hummelsbüttel
Q114808930	Husumer Straße (Hamburg)
Q6063200	Hygieia-Brunnen, Hamburg
Q800300	ICE-Bahnbetriebswerk Hamburg-Eidelstedt
Q61050545	Ida-Ehre-Platz
Q1656469	Ida-Ehre-Schule
Q106605465	Ifflandstraße (Hamburg)
Q106605466	Ilandkoppel
Q66023291	Ilse-Löwenstein-Schule
Q106605467	Im Allhorn
Q106605468	Im Alten Dorfe (Hamburg)
Q106605469	Im Grünen Grunde
Q106605470	Im Tale (Hamburg)
Q668264	Imam-Ali-Moschee (Hamburg)
Q21974170	Immanuel-Kant-Gymnasium (Hamburg)
Q59660033	Immanuelkirche (Hamburg-Veddel)
Q106605471	Immenbarg
Q106605473	Immenhöven
Q106605472	Immenhof
Q2229170	IMO 5010323
Q883560	IMO 5046281
Q858079	IMO 5060794
Q106605474	Imstedt
Q11926621	Industriekanal
Q114808932	Industriestraße (Hamburg)
Q19286112	Informationszentrum NS-Zwangsarbeit
Q114808935	Ingwersens Weg
Q1418566	Innocentiapark
Q106605475	Innocentiastraße
Q11926692	Inselkanal
Q1664496	Inselschule Neuwerk
Q1664858	Institut für Friedensforschung und Sicherheitspolitik an der Universität Hamburg
Q1362568	Institut für Hygiene und Umwelt
Q6052961	International School Hamburg
Q639118	International Tribunal for the Law of the Sea
Q19906297	Internationale Gartenbauausstellung 1973
Q14540762	Internationale Gartenschau 2013
Q937608	Internationales Maritimes Museum Hamburg
Q66322772	Irena-Sendler-Schule (Hamburg)
Q1464580	Isebekkanal
Q111205397	Isekai
Q106605476	Iserbarg
Q106605477	Iserlohner Stieg
Q63196749	Isestraße
Q106605478	Islandstraße (Hamburg)
Q1598945	Israelitische Töchterschule (Hamburg)
Q1674737	Israelitisches Krankenhaus Hamburg
Q15264626	Italienische Kriegsgräberstätte Hamburg-Öjendorf
Q114808945	Jägerstraße (Hamburg)
Q1414486	Jüdischer Friedhof (Altona)
Q1713655	Jüdischer Friedhof (Hamburg-Ottensen)
Q1716702	Jüdischer Friedhof (Kohlhöfen)
Q1716734	Jüdischer Friedhof (Neuer Steinweg)
Q1716638	Jüdischer Friedhof Bornkampsweg (Hamburg-Bahrenfeld)
Q1605511	Jüdischer Friedhof Jenfelder Straße (Hamburg-Tonndorf)
Q1716773	Jüdischer Friedhof Königsreihe (Hamburg-Wandsbek)
Q1716716	Jüdischer Friedhof Langenfelde (Hamburg-Eimsbüttel)
Q1262883	Jüdischer Friedhof Ohlsdorf
Q106605497	Jürgensallee
Q106605498	Jüthornstraße
Q106605499	Jütlandring
Q96757418	Jaarsmoorgraben
Q15820609	Jacobipark
Q32062874	Jaffe-Davids-Kanal
Q51763551	Jahnbrücke
Q108344656	Jahnkampfbahn (Hamburg)
Q114808936	Jakobikirchhof (Hamburg)
Q110572900	Jan-Fedder-Promenade
Q106605479	Jan-Valkenburg-Straße
Q1683705	Jarrestadt
Q106605480	Jarrestraße
Q106605482	Jean-Dolidier-Weg
Q106605483	Jean-Paul-Weg (Hamburg)
Q106832145	Jenckelhaus
Q106605484	Jenfelder Allee
Q14541072	Jenfelder Bach
Q106605485	Jenfelder Straße
Q66759004	Jenisch-Gymnasium
Q1686858	Jenisch-Haus
Q25089266	Jenischpark
Q106605486	Jenischstraße (Hamburg)
Q28836438	Jerusalem-Kirche (Hamburg-Eimsbüttel)
Q56640840	Johann Adolf Hasse Museum, Hamburg
Q1694545	Johann Heinrich von Thünen-Institut
Q106605487	Johann-Adolf-Hasse-Platz
Q28465285	Johannes-Brahms-Gymnasium (Hamburg)
Q26772401	Johanneskirche (Hamburg-Rissen)
Q108566787	Johanneskirche (Hamburg-Rotherbaum)
Q21037005	Johannes-Prassek-Park
Q108566788	Johann-Gerhard-Oncken-Kirche
Q106605488	Johannisbollwerk
Q106605489	Johanniswall (Hamburg)
Q1691907	Johan-van-Valckenburgh-Brücke
Q114808938	Johnsallee
Q106605490	Jordanstraße (Hamburg)
Q114808940	Joseph-Carlebach-Platz
Q106605491	Josephstraße (Hamburg)
Q108566790	Jubilate-Kirche (Hamburg-Billstedt)
Q108566792	Jubilate-Kirche (Hamburg-Lemsahl-Mellingstedt)
Q101438779	Jugend-Europahaus
Q108566793	Jugendkirche (Hamburg-Bahrenfeld)
Q99529197	Jugendparkgraben
Q106605492	Jugendparkweg
Q89656410	Julius-Leber-Schule (Hamburg)
Q114808941	Julius-Leber-Straße (Hamburg)
Q106605493	Julius-Ludowieg-Straße
Q114808943	Julius-Reincke-Stieg
Q106677617	Julius-Vosseler-Straße
Q19979483	Julssand Leuchtturm
Q106605494	Jungestraße (Hamburg)
Q1713426	Jungfernbrücke (Hamburg)
Q6451	Jungfernstieg
Q106605495	Jungfrauenthal
Q106605496	Jungiusstraße (Hamburg)
Q1714358	JVA Billwerder
Q1714381	JVA Fuhlsbüttel
Q106605505	Käkenflur
Q106605506	Käkenkamp
Q113171496	Käthe Kollwitz by Gustav Seitz, Hamburg-Langenhorn
Q106605523	Käthnerort
Q730662	Köhlbrand
Q520613	Köhlbrandbrücke
Q114808987	Köhlbranddeich
Q1795670	Köhlbrand-Freileitungskreuzung
Q1695139	Köhlbrandtreppe
Q106605568	Königshütter Straße (Hamburg)
Q106605569	Königsreihe
Q97775131	Königstraße (Hamburg)
Q114808988	Köppenstraße (Hamburg)
Q106605573	Kösterbergstraße (Hamburg)
Q14906972	Köster-Stiftung
Q114808990	Kösterstraße (Hamburg)
Q106605587	Küchgarten (Hamburg)
Q1683524	Kühne Logistics University
Q106605593	Kümmellstraße (Hamburg)
Q14548756	Künstlerhaus Sootbörn
Q114808992	Küstersweg (Hamburg)
Q106605500	Kahlkamp (Hamburg)
Q28089442	Kaifu-Bad
Q113827388	Kaischuppen 50
Q101093682	Kaiser Wilhelm-Denkmal (Altona)
Q106605501	Kaiser-Friedrich-Ufer
Q106605503	Kaiserkai
Q834519	Kaiserkeller
Q1721556	Kaiser-Wilhelm-Denkmal (Hamburg)
Q101010584	Kaiser-Wilhelm-Denkmal (Hamburg-Bergedorf)
Q106678327	Kaiser-Wilhelm-Platz (Hamburg)
Q106605502	Kaiser-Wilhelm-Straße (Hamburg)
Q1618867	Kaispeicher A
Q60728819	Kaispeicher B
Q114808946	Kaistraße (Hamburg)
Q1721837	Kajen (Hamburg)
Q106605507	Kalischerstraße (Hamburg)
Q19963955	Kalkhof (Hamburg)
Q1722634	Kaltehofe
Q114808948	Kamerunweg
Q106605508	Kamminer Straße (Hamburg)
Q11929618	Kampbille
Q106605509	Kampstraße (Hamburg)
Q28859942	Kanalbrücke Von-Essen-Straße
Q106605510	Kanalplatz (Hamburg)
Q96376808	Kanalplatz 6 (Hamburg)
Q96376919	Kanalplatz 8 (Hamburg)
Q106605511	Kannengießerort
Q106605512	Kantstraße (Hamburg)
Q114808950	Kanzlershof
Q114808951	Kanzlershofer Weg
Q106605513	Kanzlerstraße (Hamburg)
Q46337296	Kapelle 13 (Friedhof Ohlsdorf)
Q106605514	Kapellenweg (Hamburg)
Q14906925	Kapernaumkirche (Hamburg-Horn)
Q106605516	Kapitän-Schröder-Weg
Q106605517	Kapstadtring
Q71147090	Kapstadtring 2 bis 4
Q106605518	Karl-Arnold-Ring (Hamburg)
Q110887180	Karl-Schneider-Halle
Q114808954	Karlshöhe (Hamburg)
Q106605519	Karlstraße (Hamburg)
Q106967462	Karl-Theodor-Straße (Hamburg)
Q111655789	Karl-Theodor-Straße 18 (Hamburg)
Q106605520	Karnapp
Q106605521	Karolinenstraße (Hamburg)
Q1734263	Karolinenviertel (Hamburg)
Q106605522	Kastanienallee (Hamburg)
Q80708399	Katharina-von-Siena-Schule
Q25089221	Katharinenhof-Frachtenhaus
Q114808955	Katharinenkirchhof (Hamburg)
Q69650918	Katharinenschule (Hamburg)
Q114808957	Katharinenstraße (Hamburg)
Q108566794	Katholisch-apostolische Kirche Finkenau (Hamburg-Uhlenhorst)
Q76416817	Katholische Bonifatiusschule (Hamburg)
Q93635083	Katholische Schule Altona
Q79030177	Katholische Schule Am Weiher
Q107642084	Katholische Schule Bergedorf
Q94400157	Katholische Schule Blankenese
Q93376730	Katholische Schule Farmsen
Q88279795	Katholische Schule Hammer Kirche
Q90262047	Katholische Schule Harburg
Q76122419	Katholische Schule Hochallee
Q108923150	Katholische Schule Neugraben
Q83364148	Katholische Schule St. Antonius (Hamburg)
Q88300024	Katholische Schule St. Joseph Wandsbek
Q85685032	Katholische Schule St. Marien (Hamburg)
Q98094864	Katholische Schule St. Paulus (Hamburg)
Q67080952	Katholische Sophienschule (Hamburg)
Q21036358	Katholisches Kinderkrankenhaus Wilhelmstift
Q106605524	Kattrepelsbrücke (Hamburg)
Q106605525	Kattunbleiche
Q47015260	Kattwyk
Q104522023	Kattwykbrücke
Q14552136	Kattwykbrücke (1973)
Q104521996	Kattwykbrücke (2020)
Q106605526	Kedenburgstraße
Q1737880	Kehrwieder
Q106605527	Kehrwieder (street in Hamburg)
Q96602307	Kehrwiederfleet
Q106605528	Kehrwiederspitze
Q108410880	Keim (Jörn Pfab)
Q114808959	Kellerbleek
Q21036369	Kellertheater Hamburg
Q1496306	Kellinghusenstraße
Q106605529	Keplerstraße (Hamburg)
Q114808960	Kerschensteinerstraße (Hamburg)
Q1739633	Kersten-Miles-Brücke
Q106605530	Kesselflickerweg
Q19287874	Kesselhaus (Speicherstadt)
Q114808962	Kiebitzstraße (Hamburg)
Q106605531	Kiefhörn
Q106605532	Kieler Straße (Hamburg)
Q106605533	Kielkoppelstraße
Q106605534	Kielortallee
Q27973274	Kindertransport memorial (Hamburg)
Q114808963	Kiosks in Hamburg
Q106605535	Kippingstraße
Q114808965	Kirchdorfer Straße (Hamburg)
Q111441117	Kirchdorfer Straße 166
Q1742473	Kirchdorf-Süd
Q1723929	Kirche Alt-Rahlstedt (Hamburg-Rahlstedt)
Q108566795	Kirche am Albertinenkrankenhaus
Q1742778	Kirche am Rockenhof
Q108566796	Kirche der Apostolischen Gemeinschaft (Hamburg)
Q108566797	Kirche der Arche Alstertal
Q28436264	Kirche der Stille (vorm. Christophorus-Kirche; Hamburg-Altona-Nord)
Q108566798	Kirche des Heiligen Johannis des Täufers Farmsen (Hamburg)
Q1742809	Kirche des heiligen Nikolaus (vorm. Simeonkirche, Hamburg)
Q108566799	Kirche Jesu Christi der Heiligen letzten Tage (Hamburg-Langenhorn)
Q1895915	Kirche Maria Grün/Sankt Mariä Himmelfahrt (Hamburg-Blankenese)
Q1224792	Kirche Sinstorf
Q108566803	Kirche Tonndorf (Hamburg)
Q108566804	Kirche Zum Guten Hirten (Hamburg-Langenfelde)
Q21177249	Kirche zur Heiligen Dreieinigkeit, Hamburg-Hamm
Q105075434	Kirchenallee (Hamburg)
Q114808967	Kirchenhang
Q109829705	Kirchenhang 33
Q106605537	Kirchenheerweg
Q106605538	Kirchenstegel
Q109638810	Kirchenstegel 20
Q106605539	Kirchwerder Elbdeich
Q109687028	Kirchwerder Elbdeich 276
Q106605540	Kirchwerder Hausdeich
Q114808968	Kirchwerder Landweg
Q109653490	Kirchwerder Landweg 2
Q1971086	Kirchwerder Wiesen
Q110313002	Kirchwerder-Howe
Q106605541	Kiwittsmoor
Q112826224	Klärchenbrücke
Q1493217	Klövensteen
Q106605562	Klütjenfelder Straße
Q106605542	Klaus-Groth-Straße (Hamburg)
Q106605543	Kleekamp (Hamburg)
Q114808970	Kleiberweg (Hamburg)
Q106605545	Klein Flottbeker Weg
Q114808971	Klein Fontenay
Q95900488	Kleinbahnhof Wohldorf
Q11929884	Kleine Flottbek
Q106605546	Kleine Freiheit
Q104869958	Kleine Freiheit 68
Q106605547	Kleine Johannisstraße (Hamburg)
Q106605548	Kleine Reichenstraße (Hamburg)
Q106605549	Kleiner Burstah
Q60813977	Kleiner Leuchtturm Neuwerk
Q106605550	Kleiner Pulverteich
Q106605551	Kleiner Schippsee (Hamburg)
Q106605552	Kleiststraße (Hamburg)
Q114808973	Klingberg (Hamburg)
Q1602176	Klinikum Eilbek
Q106605553	Klinikweg (Hamburg)
Q23787750	Klockmannhaus
Q106605554	Klopstockstraße (Hamburg)
Q106605555	Klopstockterrasse
Q106605556	Klosterallee (Hamburg)
Q61628903	Klosteralleebrücke
Q108566806	Klosterkirche St. Johannis (Hamburg)
Q71248365	Klosterschule (Hamburg)
Q106605557	Klosterstern
Q106605558	Klosterstieg (Hamburg)
Q106605559	Klostertor (Hamburg)
Q106605560	Klosterwall
Q114808975	Klotzenmoor (Hamburg)
Q106605561	Klotzenmoorstieg
Q105564991	Klotzenmoorstieg 2
Q106605563	Knauerstraße (Hamburg)
Q106605564	Knochenhauertwiete
Q100506237	Knoopstraße (Hamburg)
Q100507200	Knoopstraße 37 (Hamburg)
Q1568436	Knust (Hamburg)
Q106605565	Kobestraße (Hamburg)
Q106605566	Kohlhöfen
Q106605567	Koldingstraße (Hamburg)
Q323100	Kollau
Q114808977	Kollaustraße
Q98846553	Kollenhofgraben
Q30526281	KomponistenQuartier Hamburg
Q106605570	Konsul-Renck-Straße (Hamburg)
Q1783239	Kontorhaus Leder-Schüler
Q19963961	Kontorhaus Stubbenhuk
Q106605571	Koppel (Hamburg)
Q74589490	Koppel 66 Haus für Kunst & Handwerk
Q114808978	Koppelstraße (Hamburg)
Q106605572	Kornträgergang
Q114808980	Kottwitzstraße (Hamburg)
Q1790744	Krüss Optronic
Q106605574	Kraepelinweg (Hamburg)
Q1740916	Kraftwerk Moorburg
Q877252	Krameramtsstuben
Q732015	Krankenhaus Altona
Q15854588	Krankenhaus Groß-Sand
Q732056	Krankenhaus St. Georg (Hamburg)
Q31838662	Kranzhaus
Q1369646	Krapphofschleuse
Q106605575	Krausestraße (Hamburg)
Q106605576	Krayenkamp
Q114808982	Kreuslerstraße (Hamburg)
Q106605577	Kreuzfurth
Q108566807	Kreuzkirche (Hamburg-Barmbek Süd)
Q108566809	Kreuzkirche (Hamburg-Eimsbüttel)
Q108566810	Kreuzkirche (Hamburg-Fuhlsbüttel)
Q108566811	Kreuzkirche (Hamburg-Harburg)
Q108566812	Kreuzkirche (Hamburg-Schiffbek)
Q108566813	Kreuzkirche (Hamburg-Stellingen)
Q1316857	Kreuzkirche (Hamburg-Wandsbek)
Q1788345	Kreuzkirche (Ottensen)
Q28025256	Kreuzkirche Kirchdorf (Hamburg-Wilhelmsburg)
Q106605578	Kreuzweg (Hamburg)
Q26836620	Kriegerdenkmal 1870/71 (Hamburg-Rotherbaum)
Q112044239	Kriegerdenkmal Altrahlstedt
Q112633933	Kriegerdenkmal Sportplatzring
Q114267620	Kriegerdenkmal St. Gertrud (Hamburg-Altenwerder)
Q23787722	Kriegsgräberstätte Altona
Q114808983	Krieterstraße
Q27943062	Kristall (Hamburg)
Q106605579	Kritenbarg
Q106605580	Krochmannstraße
Q106605581	Krohnskamp
Q106605582	Krohnstieg
Q14906989	Krohnstiegtunnel
Q106605583	Kroonhorst
Q106605584	Kroosweg (Hamburg)
Q106605585	Krugtwiete (Hamburg)
Q106605586	Krummholzberg
Q15824544	Kugel-Denkmal (Hamburg)
Q106605588	Kuhberg (Hamburg)
Q106605589	Kuhmühle
Q106605590	Kuhtrift (Hamburg)
Q106605592	Kulenstück
Q19963965	Kulturpalast Hamburg
Q106605594	Kunaustraße (Hamburg)
Q1792687	Kunstverein in Hamburg
Q106605595	Kupferredder
Q106684003	Kupferteich (Hamburg)
Q106605596	Kurdamm
Q106605597	Kurt-A.-Körber-Chaussee
Q100542670	Kurt-Juster-Schule
Q1793300	Kurt-Körber-Gymnasium
Q106605598	Kurt-Schumacher-Allee (Hamburg)
Q64347181	Kurt-Schumacher-Haus (Hamburg)
Q106605599	Kurze Straße (Hamburg)
Q114808985	Kurzer Kamp (Hamburg)
Q1719265	KZ-Außenlager Drägerwerk
Q1719264	KZ-Außenlager Hamburg-Langenhorn
Q21705949	KZ-Außenlager Hamburg-Sasel
Q106605601	Lämmersieth
Q20184481	Lämmertwiete (Hamburg)
Q114809039	Löwenstraße (Hamburg)
Q477258	Lübeck–Hamburg railway line
Q106605637	Lübecker Straße (Hamburg)
Q106605638	Lübeckertordamm
Q106605642	Lüneburger Straße (Hamburg)
Q114809041	Lürader Weg (Hamburg)
Q114152333	Lürader Weg 1 (Hamburg)
Q111131068	Lürader Weg 2
Q59296754	Lüttge-Garten (Hamburg)
Q11934468	Lüttkampgraben
Q1799904	Ladenbek
Q114808995	Ladenbeker Furtweg
Q881121	Laeiszhalle
Q19288718	Laeiszhof
Q106605600	Laeiszstraße
Q65240172	Lagerstraße (Hamburg)
Q114808998	Lamprechtstraße (Hamburg)
Q1312379	Landesarbeitsgericht Hamburg
Q61910988	Landesinstitut für Lehrerbildung
Q1802974	Landhaus J. C. Godeffroy
Q1802983	Landhaus Mahr
Q27478612	Landhaus Michaelsen
Q62056757	Landhaus Rücker
Q19288791	Landhaus Walter
Q61858616	Landschaftsschutzgebiet Öjendorf-Billstedter Geest
Q61858304	Landschaftsschutzgebiet Altona-Südwest, Ottensen, Othmarschen, Klein Flottbek, Nienstedten, Dockenhuden, Blankenese, Rissen
Q61858319	Landschaftsschutzgebiet Duvenstedt, Bergstedt, Lemsahl-Mellingstedt, Volksdorf und Rahlstedt
Q61858653	Landschaftsschutzgebiet Hummelsbütteler Feldmark/Alstertal
Q61858621	Landschaftsschutzgebiet Marmstorfer Flottsandplatte
Q61858645	Landschaftsschutzgebiet Moorburg
Q61858628	Landschaftsschutzgebiet Neuland
Q61858631	Landschaftsschutzgebiet Ohmoor
Q61858634	Landschaftsschutzgebiet Osdorf
Q61858333	Landschaftsschutzgebiet Schnelsen, Niendorf, Lokstedt, Eidelstedt und Stellingen
Q32322893	Landwehr (Hamburg)
Q106605603	Lange Mühren
Q106605604	Lange Reihe
Q106605605	Lange Striepen
Q114809001	Langenbeker Weg
Q106605606	Langenhorner Chaussee
Q106605607	Langenhorner Markt
Q96876129	Langenhorstgraben
Q106605608	Langenrehm (Hamburg)
Q78490983	Langenstücken (Hamburg)
Q28972172	Langenzugbrücke
Q106605609	Langwisch (Hamburg)
Q1805513	Lankenaustift
Q106605610	Lappenbergsallee
Q106605611	Lassallestraße (Hamburg)
Q106605612	Lattenkamp
Q106605613	Laufgraben (Hamburg)
Q106605614	Laukamp
Q60504060	León-Brücke
Q114809004	Legienstraße (Hamburg)
Q106605615	Lehmkuhlenweg (Hamburg)
Q106605616	Lehmweg (Hamburg)
Q106224098	Lehrerinnenseminar Hohe Weide
Q975833	Leine-Heide-Radweg
Q106605617	Leinpfad (Hamburg)
